user_id	original_image	face_id	age	gender	x	y	dx	dy	tilt_ang	fiducial_yaw_angle	fiducial_score
115321157@N03	12111738395_a7f715aa4e_o.jpg	1744	(4, 6)	m	663	997	637	638	-95	0	129
115321157@N03	12112413505_0aea8e17c6_o.jpg	1745	(48, 53)	m	505	846	433	433	-95	0	72
115321157@N03	12112392255_995532c2f0_o.jpg	1744	(4, 6)	m	517	1185	383	383	0	0	70
115321157@N03	12112392255_995532c2f0_o.jpg	1747	(25, 32)	m	1421	667	325	325	0	0	102
115321157@N03	12111055306_38d54c12ff_o.jpg	1747	(25, 32)	m	513	247	2205	2201	-95	0	107
115321157@N03	12120203274_f0390d9f7c_o.jpg	1748	(0, 2)	u	0	149	1813	2155	-115	0	78
115321157@N03	12111034286_4f5bfbacea_o.jpg	1749	(25, 32)	f	1826	997	306	306	-90	0	89
115321157@N03	12113086695_1962742774_o.jpg	1744	(4, 6)	m	704	809	1135	1135	-100	0	101
115321157@N03	12123096015_ae4d8770fa_o.jpg	1748	(0, 2)	u	1091	1012	325	325	-25	0	112
115321157@N03	12120187433_4df14bb039_o.jpg	1748	(0, 2)	u	851	541	1625	1626	-105	0	41
115321157@N03	12110347765_b8bb6fed6e_o.jpg	1749	(25, 32)	f	213	0	744	622	-100	0	134
115321157@N03	12110347765_b8bb6fed6e_o.jpg	1747	(25, 32)	m	246	346	684	614	-85	0	75
115321157@N03	12112793214_c8a93a8aa2_o.jpg	1744	(4, 6)	m	48	0	1232	960	-95	0	41
115321157@N03	12110382715_bb0193c359_o.jpg	1747	(25, 32)	m	431	1225	1231	1223	-95	0	75
115321157@N03	12119891043_aae1a6f6de_o.jpg	1744	(4, 6)	m	698	882	694	695	-105	0	103
115321157@N03	12113381853_92b62e9e22_o.jpg	1751	55	f	2148	851	306	306	10	0	23
115321157@N03	12112755563_388aecd6a1_o.jpg	1747	(25, 32)	m	648	36	1275	1275	-100	0	93
115321157@N03	12110803894_f8e8d05f5f_o.jpg	1749	(25, 32)	f	1490	674	312	312	5	0	136
115321157@N03	12110803894_f8e8d05f5f_o.jpg	1747	(25, 32)	m	1938	661	306	306	-5	0	152
115321157@N03	12110803894_f8e8d05f5f_o.jpg	1751	55	f	1107	768	287	287	-15	0	115
115321157@N03	12113084426_0438f67c9a_o.jpg	1745	(48, 53)	m	1069	506	465	466	-85	0	44
115321157@N03	12113084426_0438f67c9a_o.jpg	1744	(4, 6)	m	1182	232	376	376	-85	0	68
115321157@N03	12119902023_bb49e9b241_o.jpg	1753	(38, 43)	m	2683	666	287	287	-10	0	103
115321157@N03	12119902023_bb49e9b241_o.jpg	1755	(4, 6)	m	918	623	261	261	-10	0	176
115321157@N03	12119902023_bb49e9b241_o.jpg	1744	(4, 6)	m	945	1158	255	255	-5	0	126
115321157@N03	12119902023_bb49e9b241_o.jpg	1756	(4, 6)	f	1671	1174	255	255	-5	0	128
115321157@N03	12119902023_bb49e9b241_o.jpg	1757	(4, 6)	f	1437	1195	242	242	5	0	118
115321157@N03	12119902023_bb49e9b241_o.jpg	1758	(4, 6)	f	1912	1198	242	242	-5	0	175
115321157@N03	12119902023_bb49e9b241_o.jpg	1759	(4, 6)	f	1211	1180	242	243	0	0	76
115321157@N03	12119902023_bb49e9b241_o.jpg	1760	(4, 6)	f	2545	1142	242	242	-10	0	21
115321157@N03	12119902023_bb49e9b241_o.jpg	1762	(4, 6)	f	1432	747	243	242	5	0	66
115321157@N03	12119902023_bb49e9b241_o.jpg	1763	(4, 6)	f	1697	734	242	242	5	0	90
115321157@N03	12119902023_bb49e9b241_o.jpg	1764	(4, 6)	m	2443	723	242	242	0	0	106
115321157@N03	12119902023_bb49e9b241_o.jpg	1765	(4, 6)	m	2103	680	243	242	5	0	98
115321157@N03	12113492194_aa0987d8a5_o.jpg	1744	(4, 6)	m	627	750	810	810	-95	0	124
115321157@N03	12113057886_6c7e88a718_o.jpg	1744	(4, 6)	m	321	0	852	842	-95	0	49
115321157@N03	12110395505_4722868c36_o.jpg	1750	57	m	191	301	1791	1791	-90	0	111
115321157@N03	12123390243_dff6816e14_o.jpg	1748	(0, 2)	u	1085	522	1103	1103	-115	0	30
115321157@N03	12120221653_282bafa83d_o.jpg	1748	(0, 2)	u	206	303	740	657	-105	0	72
115321157@N03	12119850205_d42da98cf1_o.jpg	1750	57	m	191	655	1638	1638	-80	0	132
115321157@N03	12113399863_633fabd0ce_o.jpg	1747	(25, 32)	m	984	1211	479	478	-95	0	158
115321157@N03	12112719603_d96d576383_o.jpg	1747	(25, 32)	m	776	857	746	746	-85	0	98
115321157@N03	12112719603_d96d576383_o.jpg	1744	(4, 6)	m	1643	647	637	637	-105	0	64
115321157@N03	12113053496_58dbddd0a5_o.jpg	1746	(25, 32)	m	2298	685	389	389	0	0	68
115321157@N03	12113053496_58dbddd0a5_o.jpg	1744	(4, 6)	m	580	1227	344	344	0	0	45
115321157@N03	12113053496_58dbddd0a5_o.jpg	1747	(25, 32)	m	1453	682	325	325	5	0	105
115321157@N03	12112013733_e4c8fd28e0_o.jpg	1747	(25, 32)	m	186	741	969	969	-95	0	178
115321157@N03	12112427605_2e2ebc804a_o.jpg	1749	(25, 32)	f	581	798	242	242	0	0	15
115321157@N03	12119853485_a5b793a16a_o.jpg	1747	(25, 32)	m	809	66	1262	1263	-5	0	80
115321157@N03	12121614695_fecaa52d44_o.jpg	1744	(4, 6)	m	580	360	296	296	-5	0	55
115321157@N03	12120022554_a8779e73b7_o.jpg	1767	(0, 2)	u	1259	546	1498	1498	15	0	10
115321157@N03	12111055746_2c478c9d49_o.jpg	1747	(25, 32)	m	667	408	1938	1938	-105	0	30
115321157@N03	12120025694_6ebfa472c6_o.jpg	1767	(0, 2)	u	1107	830	568	567	5	0	48
115321157@N03	12119630205_a7db75a25a_o.jpg	1744	(4, 6)	m	0	162	1353	1371	-85	0	103
115321157@N03	12113091206_850d37727d_o.jpg	1752	(15, 20)	m	468	1061	593	593	-100	0	100
115321157@N03	12120274266_f29962757b_o.jpg	1754	35	m	540	706	280	280	-5	0	90
115321157@N03	12120274266_f29962757b_o.jpg	1753	(38, 43)	m	2722	666	261	261	-10	0	131
115321157@N03	12120274266_f29962757b_o.jpg	1759	(4, 6)	f	1195	1171	261	261	0	0	86
115321157@N03	12120274266_f29962757b_o.jpg	1757	(4, 6)	f	1442	1209	242	242	5	0	84
